sent_id,generator,evaluator,german_sentence,Translation,score
1,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"In einigen Städten brach Panik aus, als die Erde am Mittwoch bebte."," In some cities, panic broke out when the earth trembled on Wednesday.",3
2,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Gebäude stürzten zum Teil ein oder gerieten in gefährliche Schieflage.,Buildings collapsed in part or tilted dangerously.,4
3,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"In vielen Wohnungen gingen Geschirr und andere Gegenstände zu Bruch, Verkehrsbrücken wackelten bedrohlich und an vielen Straßen entstanden Schäden."," In many apartments, dishes and other items broke, traffic bridges wobbled dangerously, and damage occurred at many streets.",4.5
4,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Manche Augenzeugen berichteten, so etwas noch nie erlebt zu haben.",Some eyewitnesses reported that nothing like it had ever happened before.,3
5,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Insel liegt in einer erdbebengefährdeten Zone am Rand zweier tektonischer Platten, der Eurasischen und der Philippinischen."," The island lies in a seismically hazardous zone at the border of two tectonic plates, the Eurasian and the Philippine.",4
6,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,1999 traf ein ähnlich starkes Beben die Inselrepublik.,In 1999 struck a similar strong tremor the island republic.,4
7,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Folgen damals waren wesentlich verheerender.,The consequences back then were much more devastating.,4
8,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Mindestens 2400 Menschen kamen ums Leben.,At least 2400 people lost their lives.,3
9,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Taiwan investierte seither mehr in Erdbeben-Prävention.,Taiwan has invested more in earthquake prevention since then.,5
10,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Eine große Gruppe Bergarbeiter, die nach dem schweren Erdbeben in Taiwan von der Außenwelt abgeschnitten war, ist befreit worden."," A large group of miners, who had been isolated by the aftermath of the earthquake in Taiwan, were freed.",4
11,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wie die Feuerwehr mitteilte, konnten die 64 Arbeiter aus einem Steinbruch im Osten der Insel kurz in Sicherheit gebracht werden.",The firefighters reported that the 64 workers were able to be temporarily evacuated from a quarry in the eastern part of the island.,4
12,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Zuvor hatten Rettungskräfte bereits sechs Arbeiter, die in einem anderen Steinbruch festsaßen, per Hubschrauber aus dem Gebiet gebracht."," Before, rescue crews had already brought six workers who were stuck in a different quarry by helicopter from the area.",4
13,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Unterdessen stieg die Zahl der Todesopfer nach dem Erdbeben auf zehn.," During that time, the number of deaths increased to ten following the earthquake.",3
14,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Ein 65 Jahre alter Mann sei auf einem Wanderpfad im Taroko-Nationalpark im Osten der Insel gefunden worden, teilten die Behörden mit."," An 65-year-old man was found on a hiking trail in Taroko Gorge National Park in the east of the island, authorities reported.",4
15,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Zahl der Verletzten nach den Erdstößen legte derweil leicht auf 1058 zu.," The number of injured people after the earthquakes had risen slightly to 1,058.",4
16,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Aufräumarbeiten gehen derweil weiter.,The cleaning work continues in the meantime.,4
17,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"So liefen umfangreiche Maßnahmen an, um beschädigte Straßen zu reparieren und Gebäude in gefährlicher Schieflage zu stützen.",Extensive measures were taken to repair damaged roads and stabilize buildings in precarious positions.,4.5
18,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Nach dem Beben sind nach amtlichen Angaben noch mehr als 640 Menschen von der Außenwelt abgeschnitten.," After the flooding, official figures indicate that over 640 people from the affected area have been cut off.",4
