sent_id,generator,evaluator,English_Sentence,Translation,score
1,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Foreign ministers of the Group of Seven (G7) economic powers are meeting on the Italian Mediterranean island of Capri.,Die Außenminister der Gruppe der sieben (G7) ökonomischenmächte treffen auf der italienischen Mittelmeerinsel Capri.,4
2,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Tensions in the Middle East and aid to Ukraine amid a Russian invasion will be major topics. US Secretary of State Antony Blinken and Ukrainian Foreign Minister Dmytro Kuleba have both stressed the need for the US Congress to pass a new military aid package for Kyiv as it fights against a Russian invasion.,"Die Tensions inmitten des Mittelostens und die Hilfe für Ukraine im Kontext eines russischen Angriffs werden wichtige Themen sein. US-Außenminister Antony Blinken und der ukrainische Außenminister Dmytro Kuleba haben beide den Bedarf betont, dass der US-Kongress ein neues militärisches Hilfepaket für Kiew genehmigt.",4
3,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""At this moment, it is urgent that all of the friends and supporters of Ukraine maximize their efforts to provide Ukraine with what it needs to continue to effectively defend itself against the Russian aggression,"" Blinken said, speaking on the sidelines of the G7 foreign ministers' meeting on the Mediterranean island of Capri.","In diesem Moment ist es dringlich, dass alle Freunde und Unterstützer der Ukraine ihre Anstrengungen maximieren, um der Ukraine die Unterstützung zu liefern, die sie braucht, um sich effektiv gegen die russische Aggression zu verteidigen.",4
4,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Blinken said it was in the US' own interests to ensure Ukraine could ward off the Russian assault.,"Blinken meinte, dass es im eigenen Interesse der USA sei, um Ukraine zu helfen, den russischen Angriff zu abwehren.",4
5,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""If (Russian President Vladimir) Putin is allowed to proceed with impunity, we know he won't stop at Ukraine,"" Blinken said.","Wenn Putin unbestraft weitergehen darf, wissen wir, dass er nicht bei Ukraine aufhört.",4
6,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Kuleba said the US aid package, which has long been blocked by Republicans in Congress, ""will literally, without exaggeration, help save Ukrainians from Russian missile slaughter.""","Kuleba sagte, dass das US-Hilfspaket, das von den Republikanern im Kongress seit langem blockiert wurde, ""wird tatsächlich, ohne Übertrefung, die Ukrainer von russischem Raketenbeschuss retten.""",4
7,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Citing the Russian missile strike on Ukraine's historic city of Chernihiv on Wednesday, which killed at least 18 people, Kuleba said the tragedy was ""that these kind of attacks happen almost every day in Ukraine.""","In Anlehnung an den russischen Raketenangriff auf das historische Stadt Chernihiv am Mittwoch, der mindestens 18 Menschen tötete, sagte Kuleba: ""Die Tragödie ist es, dass solche Angriffe fast jeden Tag in Ukraine stattfinden.""",4
8,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The US House of Representatives is expected to vote on Saturday on new military aid, including some $61 billion (57 billion) in support for Ukraine.","Am Samstag ist das US-Repräsentantenhaus mit neuem militärischen Hilfspaket, einschließlich 61 Milliarden US-Dollar (57 Milliarden  EURO) zur Unterstützung der Ukraine, zu wählen.",4
9,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Iran's weekend attack on Israel must be met with some sort of response from the G7, German Foreign Minister Annalena Baerbock said on Thursday.","Iranischen Angriff am Wochenende auf Israel muss eine Art von Antwort der G7 sein, sagte Außenminister Annalena Baerbock am Donnerstag.",3
10,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""We are also discussing further measures here at the G7, because, of course, there must be a response to this unprecedented incident,"" Baerbock said.","Wir besprechen hier auch weitere Maßnahmen im G7, da es natürlich eine Antwort auf dieses unvorhersehliche Ereignis geben muss.",4
11,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"She warned, however, that ""there must be no further escalation in the region; that would be fatal for its people.""","Sie war jedoch gewarnt, dass ""es keine weitere Eskalation in der Region geben darf; das wäre tödlich für sein Volk.""",4
12,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Speaking ahead of the G7 foreign ministers' meeting, she recalled that Ukrainian Foreign Minister Dmytro Kuleba, who will also take part in the Capri gathering, had said, ""We need air defense now"" at a NATO meeting two weeks ago.","Vorab der G7-Außenministertagung sprach sie darauf hin, dass der ukrainische Außenminister Dmytro Kuleba, der auch an der Capri-Versammlung teilnehmen wird, auf einem NATO-Treffen zwei Wochen zuvor gesagt hatte: ""Wir benötigen jetzt Luftverteidigung.""",4
13,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"More than 1,300 police officers and other security forces are being deployed on the island during the meeting.",Mehr als 1.300 Polizeibeamte und andere Sicherheitskräfte werden während des Treffens auf der Insel einsetzten.,4.5
14,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"A new survey shows the EU is losing face with business and government ""elites"" of Southeast Asia.","Eine neue Umfrage zeigt, dass die EU mit den Geschäfts- und Regierungs-„Eliten“ Südostasiens an Ansehen verliert.",4
15,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Respondents showed less confidence in Brussels on issues like upholding free trade and global order.,Die Befragten zeigten weniger Vertrauen in Brüssel bei Themen wie die Wahrung des Freicommerzs und des globalen Ordens.,4
16,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The European Union's reputation appears to have taken a hit in Southeast Asia, according to a region-wide survey of ""elites"" conducted by the ISEAS-Yusof Ishak Institute in Singapore.","Das Ruf der Europäischen Union scheint in Südostasien einen Schlag zu haben, nach einer in Singapur durchgeführten Regionalsumfrage von ""Eliten"".",4
17,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The researchers gathered the data by questioning some 2,000 representatives of academia, business, government and civil society in January and February this year.","Die Wissenschaftler sammelten die Daten durch Befragung von rund 2.000 Vertretern von Akademia, Wirtschaft, Regierung und Zivilgesellschaft im Januar und Februar dieses Jahres.",4
18,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The results show that there is now less trust in the EU to uphold free trade or the rules-based order compared with last year.,"Die Ergebnisse zeigen, dass das Vertrauen in die EU, die freie Handel oder den Rechtsstaat zu halten, im Vergleich zu letztes Jahr verringert ist.",3
