sent_id,generator,evaluator,german_sentence,Translation,number_of_critical_errors,number_of_major_errors,number_of_minor_errors,final_score
1,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"In einigen Städten brach Panik aus, als die Erde am Mittwoch bebte."," In some cities, panic broke out when the earth trembled on Wednesday.",0,1,4,-7
2,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Gebäude stürzten zum Teil ein oder gerieten in gefährliche Schieflage.,Buildings collapsed in part or tilted dangerously.,1,1,2,-10
3,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"In vielen Wohnungen gingen Geschirr und andere Gegenstände zu Bruch, Verkehrsbrücken wackelten bedrohlich und an vielen Straßen entstanden Schäden."," In many apartments, dishes and other items broke, traffic bridges wobbled dangerously, and damage occurred at many streets.",1,2,3,-14
4,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Manche Augenzeugen berichteten, so etwas noch nie erlebt zu haben.",Some eyewitnesses reported that nothing like it had ever happened before.,1,1,1,-9
5,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Insel liegt in einer erdbebengefährdeten Zone am Rand zweier tektonischer Platten, der Eurasischen und der Philippinischen."," The island lies in a seismically hazardous zone at the border of two tectonic plates, the Eurasian and the Philippine.",1,1,1,-9
6,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,1999 traf ein ähnlich starkes Beben die Inselrepublik.,In 1999 struck a similar strong tremor the island republic.,0,1,3,-6
7,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Folgen damals waren wesentlich verheerender.,The consequences back then were much more devastating.,0,1,5,-8
8,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Mindestens 2400 Menschen kamen ums Leben.,At least 2400 people lost their lives.,1,1,3,-11
9,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Taiwan investierte seither mehr in Erdbeben-Prävention.,Taiwan has invested more in earthquake prevention since then.,0,1,1,-4
10,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Eine große Gruppe Bergarbeiter, die nach dem schweren Erdbeben in Taiwan von der Außenwelt abgeschnitten war, ist befreit worden."," A large group of miners, who had been isolated by the aftermath of the earthquake in Taiwan, were freed.",1,1,2,-10
