sent_id,generator,evaluator,score,explanation,german_sentence,Translation,expert-v1-refined,layperson-v1-refined,nice-refined,rude-refined,expert-v2-refined,layperson-v2-refined,expert-v1,layperson-v1,nice,rude,original,expert-v2,layperson-v2
1,google/gemma-7b-it,google/gemma-1.1-7b-it,3,"The translation is accurate, capturing the essential meaning of the German sentence.","In einigen Städten brach Panik aus, als die Erde am Mittwoch bebte."," In some cities, panic broke out when the earth trembled on Wednesday.","In some cities, a panic erupted when the earth trembled on Wednesday.",The sudden tremor on Wednesday triggered panic in some cities.,The sudden tremor on Wednesday triggered panic in several cities.,The sudden tremor on Wednesday caused panic in several cities.,The sudden tremor on Wednesday triggered panic in certain cities.,The sudden tremor on Wednesday sparked panic in certain cities.,0.8185,0.7927,0.8012,0.8043,0.8353,0.7955,0.7986
2,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate, capturing the meaning of the German sentence. It correctly conveys the partial collapse or tilting of the building in a dangerous position.",Gebäude stürzten zum Teil ein oder gerieten in gefährliche Schieflage.,Buildings collapsed in part or tilted dangerously.,Some buildings partially collapsed or tilted precariously.,Buildings partially collapsed or tilted precariously.,"The buildings partially collapsed or tilted precariously, putting them in a dangerous position.","The buildings partially collapsed or tilted precariously, putting them in a dangerous configuration.","Some sections of the buildings collapsed or tilted precariously, putting them in a dangerous position.",Some buildings partially collapsed or tilted precariously.,0.7193,0.7129,0.7324,0.7349,0.7069,0.7289,0.7193
3,google/gemma-7b-it,google/gemma-1.1-7b-it,4.5,"The translation is very accurate, capturing the essence of the original sentence while maintaining grammatical correctness and clarity in English.","In vielen Wohnungen gingen Geschirr und andere Gegenstände zu Bruch, Verkehrsbrücken wackelten bedrohlich und an vielen Straßen entstanden Schäden."," In many apartments, dishes and other items broke, traffic bridges wobbled dangerously, and damage occurred at many streets.","The recent earthquake caused widespread damage in many apartments, causing dishes and other items to shatter, traffic bridges to wobble dangerously, and damage to many streets.","The recent tremor caused damage to numerous apartments, with dishes and other items breaking, traffic bridges swaying precariously, and damage occurring on many streets.","The incessant clatter of dishes and other objects, coupled with the precarious swaying of traffic bridges, caused widespread damage throughout many apartments.","The precarious stability of many apartments led to broken dishes and other objects, while traffic bridges trembled dangerously, causing damage across numerous streets.","The recent earthquake caused significant damage to many apartments, with dishes and other items shattering, traffic bridges swaying dangerously, and damage occurring across numerous streets.","The recent seismic activity caused damage to many apartments, with dishes and other items breaking, traffic bridges swaying precariously, and damage occurring across numerous streets.",0.7081,0.7189,0.4836,0.6378,0.6865,0.6963,0.7046
4,google/gemma-7b-it,google/gemma-1.1-7b-it,3," The translation is accurate in conveying the main idea of the German sentence, which is that some eyewitnesses reported an unprecedented experience. However, the English sentence could benefit from slightly more precision in describing the specific nature of the unprecedented experience mentioned in the German sentence.","Manche Augenzeugen berichteten, so etwas noch nie erlebt zu haben.",Some eyewitnesses reported that nothing like it had ever happened before.,Some eyewitnesses reported that it was an unprecedented experience for them.,Some eyewitnesses reported that they had never experienced anything quite like it before.,The eyewitnesses reported that they had never experienced anything like it before.,Some eyewitnesses reported that they had never witnessed anything quite like it before.,Some eyewitnesses reported that nothing like it had ever occurred before.,Some eyewitnesses reported having never experienced anything quite like it before. ,0.7806,0.8315,0.816,0.8264,0.8087,0.8073,0.8297
5,google/gemma-7b-it,google/gemma-1.1-7b-it,4," The translation is accurate, conveying the essential meaning of the German sentence. It uses appropriate terminology related to tectonic plates and seismic hazards.","Die Insel liegt in einer erdbebengefährdeten Zone am Rand zweier tektonischer Platten, der Eurasischen und der Philippinischen."," The island lies in a seismically hazardous zone at the border of two tectonic plates, the Eurasian and the Philippine.",The island lies in a seismically hazardous zone at the border of the Eurasian and Philippine tectonic plates. The island's location makes it vulnerable to earthquakes and volcanic eruptions.,"The island lies within a seismically prone area bordering two tectonic plates, the Eurasian and Philippine.","The island sits in a seismically prone area at the junction of two tectonic plates, the Eurasian and the Philippine.","The island sits in a seismically prone area at the convergence zone of two tectonic plates, the Eurasian and the Philippine.","The island sits in a seismically prone area at the convergence of two tectonic plates, the Eurasian and the Philippine.","The island sits in a seismically prone area at the convergence of two tectonic plates, the Eurasian and the Philippine. The surrounding region is highly susceptible to earthquakes.",0.6116,0.8097,0.8398,0.8219,0.8431,0.817,0.6576
6,google/gemma-7b-it,google/gemma-1.1-7b-it,4,The translation is accurate in conveying the essential meaning of the German sentence.,1999 traf ein ähnlich starkes Beben die Inselrepublik.,In 1999 struck a similar strong tremor the island republic.,"The 1999 earthquake shook the island republic to its core, causing damage comparable to that of a much stronger tremor.","In 1999, a powerful tremor similar to that occurred in the island republic.","In 1999, a similar strong tremor struck the island republic.",The violent tremor of 1999 shook the island republic to its core.,The powerful tremor of 1999 shook the island republic to its core.,The 1999 earthquake shook the island republic to its core.,0.4823,0.7319,0.7779,0.7482,0.736,0.7443,0.7119
7,google/gemma-7b-it,google/gemma-1.1-7b-it,4,The translation is accurate and conveys the meaning of the German sentence perfectly.,Die Folgen damals waren wesentlich verheerender.,The consequences back then were much more devastating.,The consequences back then were far more devastating.,The consequences back then were far more devastating.,The consequences back then were far more devastating than previously imagined.,The aftermath of that was significantly more devastating.,The consequences back then were catastrophic.,The consequences back then were far more devastating than they are today. ,0.8184,0.8184,0.7896,0.7159,0.8266,0.7499,0.7805
8,google/gemma-7b-it,google/gemma-1.1-7b-it,3,The translation is accurate and conveys the exact meaning of the German sentence.,Mindestens 2400 Menschen kamen ums Leben.,At least 2400 people lost their lives.,At least 2400 people lost their lives in the devastating earthquake that struck the region.,At least 2400 people tragically lost their lives in this devastating event.,The tragedy claimed the lives of at least 2400 people.,"At least 2,400 people tragically lost their lives.",At least 2400 people tragically lost their lives.,"At least 2,400 people tragically lost their lives.",0.7584,0.8541,0.8504,0.8413,0.8822,0.8274,0.8323
9,google/gemma-7b-it,google/gemma-1.1-7b-it,5,Do not have an explanation,Taiwan investierte seither mehr in Erdbeben-Prävention.,Taiwan has invested more in earthquake prevention since then.,Taiwan has significantly stepped up its investments in earthquake prevention since then.,Taiwan has significantly increased its investment in earthquake prevention measures since then.,Taiwan has significantly stepped up its investment in earthquake prevention measures since then.,Taiwan has significantly increased its investments in earthquake prevention measures since that time.,Taiwan has significantly increased its investments in earthquake prevention measures since then.,Taiwan has invested more in earthquake prevention since then.,0.785,0.7926,0.7783,0.7933,0.7933,0.7929,0.7933
10,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is very accurate, capturing the essence of the original German sentence. It accurately conveys the large group of miners, their isolation due to the earthquake, and their subsequent liberation.","Eine große Gruppe Bergarbeiter, die nach dem schweren Erdbeben in Taiwan von der Außenwelt abgeschnitten war, ist befreit worden."," A large group of miners, who had been isolated by the aftermath of the earthquake in Taiwan, were freed.","The massive group of miners, rendered inaccessible by the aftermath of the earthquake in Taiwan, were finally freed.","The massive group of miners, isolated by the aftermath of the devastating earthquake in Taiwan, were finally freed.","A massive group of miners, trapped and isolated after the devastating earthquake in Taiwan, were finally freed.","A large group of miners, trapped by the aftermath of the earthquake in Taiwan, were finally freed. ","The massive group of miners, left isolated by the aftermath of the earthquake in Taiwan, were finally freed.","The massive group of miners, cut off from the outside world by the earthquake in Taiwan, were finally freed. This accurately conveys the scale of the group, their isolation, and their liberation.",0.6778,0.7214,0.7601,0.7214,0.7241,0.732,0.563
