id,german_sentence
1,"In einigen Städten brach Panik aus, als die Erde am Mittwoch bebte."
2,Gebäude stürzten zum Teil ein oder gerieten in gefährliche Schieflage.
3,"In vielen Wohnungen gingen Geschirr und andere Gegenstände zu Bruch, Verkehrsbrücken wackelten bedrohlich und an vielen Straßen entstanden Schäden."
4,"Manche Augenzeugen berichteten, so etwas noch nie erlebt zu haben."
5,"Die Insel liegt in einer erdbebengefährdeten Zone am Rand zweier tektonischer Platten, der Eurasischen und der Philippinischen."
6,1999 traf ein ähnlich starkes Beben die Inselrepublik.
7,Die Folgen damals waren wesentlich verheerender.
8,Mindestens 2400 Menschen kamen ums Leben.
9,Taiwan investierte seither mehr in Erdbeben-Prävention.
10,"Eine große Gruppe Bergarbeiter, die nach dem schweren Erdbeben in Taiwan von der Außenwelt abgeschnitten war, ist befreit worden."
11,"Wie die Feuerwehr mitteilte, konnten die 64 Arbeiter aus einem Steinbruch im Osten der Insel kurz in Sicherheit gebracht werden."
12,"Zuvor hatten Rettungskräfte bereits sechs Arbeiter, die in einem anderen Steinbruch festsaßen, per Hubschrauber aus dem Gebiet gebracht."
13,Unterdessen stieg die Zahl der Todesopfer nach dem Erdbeben auf zehn.
14,"Ein 65 Jahre alter Mann sei auf einem Wanderpfad im Taroko-Nationalpark im Osten der Insel gefunden worden, teilten die Behörden mit."
15,Die Zahl der Verletzten nach den Erdstößen legte derweil leicht auf 1058 zu.
16,Die Aufräumarbeiten gehen derweil weiter.
17,"So liefen umfangreiche Maßnahmen an, um beschädigte Straßen zu reparieren und Gebäude in gefährlicher Schieflage zu stützen."
18,Nach dem Beben sind nach amtlichen Angaben noch mehr als 640 Menschen von der Außenwelt abgeschnitten.
19,Allein in einer Wanderunterkunft im Kreis Hualien halten sich demnach 615 Menschen auf.
20,24 Touristen säßen noch in einer Höhle fest.
21,Zu weiteren etwa 30 vermissten Menschen fehlte noch jeder Kontakt.
22,Die Suche nach eingeschlossenen und vermissten Menschen konzentriert sich auf die Gegend um die Stadt Hualien.
23,"Nach einem Besuch in einem dortigen Notfallzentrum sagte Regierungschef Chen Chien-jen, er hoffe, dass ""wir den heutigen Tag nutzen können, um alle gestrandeten und vermissten Menschen zu finden""."
24,"Immer mehr Politiker und Gesundheitsexperten fordern, dass Deutschland die Zeit während der Corona-Pandemie kritisch aufarbeiten soll."
25,"Sie war eine der größten Herausforderungen für die Politik nach dem Zweiten Weltkrieg, nicht nur in Deutschland: Weltweit hatte die Corona-Pandemie  ab Anfang 2020 zur Folge, dass Grundrechte außer Kraft gesetzt und Lockdowns verhängt wurden."
26,"Schulen, Kindergärten und viele Unternehmen mussten vorübergehend schließen."
27,"Und nachdem die ersten  Impfstoffe bis Mitte des Jahres 2021 in großen Mengen verfügbar waren, entstand ein großer Druck, auch in der Gesellschaft, sich auch tatsächlich impfen zu lassen."
28,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."
29,"Viele vor allem kleine Betriebe, Restaurants etwa, haben die Zeit der Schließungen nicht überlebt."
30,"Und fast einhellig gestehen damalige und heutige Politiker ein, vor allem mit Kindern und Jugendlichen viel zu streng umgegangen zu sein."
31,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."
32,Insgesamt ist Deutschland gemessen an seiner sehr alten Bevölkerung gut durch die Pandemie gekommen.
33,"Herr Weidinger ist ein älterer Mann, er sagt: ""Das war eine schwierige Situation, also die einzige wahre Lösung gab es da vermutlich nicht."" "
34,"Wenn Deutschland jetzt seine Pandemie-Geschichte wirklich aufarbeitet, wird es eines der ersten Länder sein, die das tun."
35,Fest steht wohl schon jetzt: Die Verwerfungen durch Corona waren woanders weitaus stärker.
36,"Raspelkurze Haare, schwarze Brille, Backenbart - und seine größte Leidenschaft gilt dem Computer."
37,"Jetzt wird der Berliner, der so gar nicht wie ein Superman aussieht, wie ein Superheld gefeiert."
38,Denn: Er hat nichts weniger getan als das Internet gerettet und einen weltweiten Cyberangriff verhindert.
39,Zum Glück sitzt er gern vorm Computer.
40,"Das hat er auch vor ein paar Tagen im Flieger gemacht, als er nach einem Heimatbesuch wieder auf dem Rückweg nach San Francisco war."
41,Dort heuerte er vor fünf Jahren der Entwickler bei Microsoft an.
42,"Bei einigen Software-Tests auf seinem Computer fällt ihm auf, dass sich Verzögerungen von einer halben Sekunde einschlichen, wenn er Befehle im Linux-Betriebssystem eingab."
43,Er macht sich auf Spurensuche - und eine erstaunliche Entdeckung.
44,"Freund bemerkte, dass die Anmeldung plötzlich mehr Rechenleistung benötigte, ein Leistungsabfall von lediglich 500 Millisekunden."
45,"Erstaunlich, wem er da auf die Spur kommt: Unbekannte haben im Linux-Betriebssystem eine sogenannte Hintertür eingebaut, die aktuellsten Versionen von ""xz-utils"" (ein Linux-Software-Werkzeug) manipuliert."
46,Die ausgetüftelte Schadsoftware war vermutlich das Ergebnis einer jahrelangen Geheimaktion.
47,Offenbar sollte schon bald ein weltweiter Cyberangriff gestartet werden.
48,"Der Schaden wäre riesig gewesen, die Hacker hätten Zugriff auf Millionen Computer gehabt."
49,Auch etliche Rechenzentren laufen auf der Basis von Linux.
50,Am Karfreitag teilte Freund IT-Spezialisten seine Entdeckung mit - und schreckte weltweit Experten auf.
51,"Wer hinter der Aktion steckt, ist noch unklar."
52,"Wahrscheinlich sind es Geheimdienst-Agenten eines Nachrichten-Dienstes, die in monatelanger Vorarbeit eine weltweite Aktion planten - die jetzt ein deutscher Computer-Nerd auffliegen ließ."
53,"Microsoft-CEO Satya Nadella lobte Freunds ""Neugier und sein handwerkliches Können."""
54,"Der 38-Jährige selbst bleibt bescheiden, sagt: ""Ich bin ein eher privater Mensch."""
55,Die Wahrheit enthüllt: Was die Medien Ihnen über Solar verschweigen.
56,"Die Medien präsentieren Solarenergie oft als teure oder ineffiziente Option, doch die Wahrheit sieht ganz anders aus."
57,"Hinter den Kulissen hat sich ein Wandel vollzogen, der das Potential hat, Ihre Finanzen radikal zu verändern."
58,"Wir decken auf, was wirklich hinter den Schlagzeilen steckt und warum eine Solaranlage eine Investition in Ihre finanzielle Zukunft ist."
59,Warum kaum jemand vom Preissturz bei Solaranlagen weiß.
60,"Die Kosten für Solarpanels sind in den letzten Jahren drastisch gefallen - ein Detail, das oft unter den Tisch fällt."
61,Dank fortschrittlicher Technologien und Massenproduktion sind die Preise so niedrig wie nie.
62,Die Lager sind extrem gut gefüllt!
63,"Oft wird dieser entscheidende Fakt jedoch verschwiegen, um traditionelle Energieanbieter zu schützen."
64,Über die Lebensdauer einer Solaranlage können Sie Zehntausende Euro an Stromkosten einsparen.
65,"Die anfängliche Investition rechnet sich schneller, als Sie denken."
66,"Es gibt finanzielle Unterstützungen, die Ihre Investition noch attraktiver machen - ein weiteres Detail, das oft nicht breit kommuniziert wird."
67,Binden Sie sich nicht länger an die Unberechenbarkeit des Energiemarktes.
68,Mit einer Solaranlage sichern Sie sich gegen zukünftige Preissteigerungen ab.
69,"Lithium ist ein wesentlicher Bestandteil von Batteriespeichersystemen, die fast immer zusammen mit Photovoltaikanlagen installiert werden."
70,Der Preis für Lithium ist aufgrund von Produktionssteigerungen und der Erschließung neuer Lithiumminen weltweit stabilisiert und sogar stark reduziert.
71,Das sorgt auch für deutlich günstigere Produktionspreise in der Solartechnik.
72,Sie drücken bei Konsumenten weiterhin die alten Preise durch und erhöhen den eigenen Gewinn drastisch.
73,"Um Verbraucher vor diesem kritischen Fehler zu bewahren, haben junge deutsche Unternehmer jetzt ein Vergleichs-Portal erschaffen."
74,"Das Portal erfreut sich derzeit immer größerer Beliebtheit, denn es vereinfacht das Einholen von Erstinformationen ungemein."
75,"Das Besondere: Die Anbieter sind sich um den direkten Konkurrenzkampf bewusst und daher bemüht, Ihnen ein faires Angebot zu machen."
76,Erstmals hat die europäische Polizeibehörde Europol auf der Grundlage von Daten aus allen EU-Mitgliedsstaaten die Organisierte Kriminalität unter die Lupe genommen.
77,"Die europäische Polizeibehörde Europol hat erstmals die ""bedrohlichsten"" Banden des Kontinents analysiert."
78,"Das schwere und organisierte Verbrechen ist allgegenwärtig und stellt weiterhin eine große Bedrohung der inneren Sicherheit der Europäischen Union dar"", heißt es in der 51 Seiten starken Studie."
79,Die größte Bedrohung liegt Europol zufolge in der Infiltrierung der legalen Geschäftswelt - Ziele sind dabei die Erleichterung und Verdeckung der Verbrechen sowie das Waschen der Profite.
80,"Für ihre kriminellen Aktivitäten nutzen dem Bericht zufolge rund 86 Prozent der Banden ""legale Handelsstrukturen""."
81,"Kriminelle Banden bevorzugten Immobilien als Mittel zur Wäsche von Erträgen aus Straftaten, so Europol, und setzten dabei Anwälte oder Finanzexperten ein, ""die sich manchmal des kriminellen Ursprungs der Vermögenswerte nicht bewusst sind""."
82,"Öl, Kupfer und Gold immer teurer: Was ist da los?"
83,"Tankstellen in Deutschland sind wichtige Preis-Indikatoren: Wer regelmäßig an die Zapfsäule muss, bekommt ein Gespür für den Ölpreis."
84,"Insbesondere die Ereignisse im Nahen und Mittleren Osten haben dazu beigetragen, dass die Ölpreise gestiegen sind."
85,"Generell haben Rohstoffpreise, darunter auch Kupfer und Gold, in jüngster Zeit auf breiter Front zugelegt."
86,So stieg der Preis für die Feinunze Gold zuletzt beispielsweise auf über 2300 US-Dollar - ein absoluter Höchststand.
87,"Laut Carsten Fritsch von der Commerzbank kann man aktuell gar von einer ""Rohstoff-Rallye"" sprechen."
88,"Die Gründe für den Preisanstieg - von Öl bis zum Gold - würden sich allesamt ähneln: ""Zumeist sind es Anzeichen für eine anziehende Nachfrage - gepaart mit Nachrichten eines eingeschränkten Angebots."""
89,Der Preis für das wichtige Industriemetall Kupfer wird im Moment auch durch Spekulationen rund um eine Zinssenkung der US-Notenbank getrieben.
90,"Das schwächt wiederum den US-Dollar - und das macht in Dollar gehandelte Rohstoffe wie eben Kupfer für Anleger in anderen Währungsräumen billiger, das erhöht die Nachfrage und somit den Preis."
91,Beim Gold - in der Regel der sichere Hafen für Anleger in Krisensituationen - hingegen rätseln Anleger wie Marktbeobachter allerdings über die Gründe des Preisanstiegs.
92,Mancher vermutet auch hier einen Zusammenhang mit der erhofften Zinssenkung.
93,Allerdings verweist das World Gold Council auch auf das derzeit große Interesse von verschiedenen Notenbanken.
94,"Diese hätten zuletzt ihre Käufe von Gold ""auf höchstem Niveau fortgesetzt""."
95,Im Falle des Erdöls kommt ein besonderer angebotseinschränkender Faktor hinzu: Die OPEC.
96,Die Organisation erdölexportierender Länder hat bereits vor einigen Monaten die Produktion eingeschränkt.
97,"Mitte dieser Woche verkündete sie, keine Änderungen an dieser Förderpolitik vorzunehmen."
98,"Auch das dürfte dazu beitragen, die globalen Märkte in den nächsten Monaten angespannt zu halten - und den Preis für Rohöl womöglich weiter in die Höhe zu treiben."
99,"Für Autofahrerinnen und Autofahrer sind diese Nachrichten rund um das 159-Liter Fass keine guten - zumindest nicht für diejenigen, die einen Verbrenner-PKW nutzen."
100,Die Ölpreisentwicklung hat nämlich direkt spürbare Auswirkungen an der Tankstelle.
101,"Da die Preise für Benzin und Diesel eng mit den Rohölpreisen korrelieren, führen steigende Ölpreise zu höheren Kraftstoffpreisen."
102,"Verbraucher müssen somit tiefer in die Tasche greifen, wenn sie ihr Verbrenner-Auto auftanken wollen."
103,Darauf verweist auch eine aktuelle Auswertung des Automobilclubs ADAC zur Entwicklung der Kraftstoffpreise im März.
104,"Demnach ist der Liter Super E10 drei Wochen in Folge im Preis gestiegen und lag im Monatsmittel bei 1,787 Euro."
105,Der Dieselpreis veränderte sich dagegen kaum.
106,"Dass Diesel von den Preissteigerungen weniger stark betroffen ist, dürfte dem ADAC zufolge am bevorstehenden Ende der Heizperiode liegen - dann sinkt nämlich die Nachfrage nach dem Diesel sehr ähnlichen Heizöl."
107,"Stephan Jäger ist der erste männliche deutsche Golfer seit neun Jahren, der einen Sieg auf der PGA-Tour erringen kann."
108,Trotz wenig Erfolg auf höchster Ebene erfreut sich der Golfsport in Deutschland enormer Popularität.
109,Ungläubig und mit Tränen in den Augen beobachtete Stephan Jäger den wohl größten Moment seiner Golfkarriere.
110,"134 Turniere hatte Jäger bereits auf der PGA-Tour, der höchsten Golf-Liga der Welt, gespielt."
111,"Sich in so einem Feld durchzusetzen, ist eine enorme Leistung."
112,"So ein Sieg löst immer einen kleinen Boom im deutschen Golf aus"", sagt Baraka."
113,Trotz des Golf-Hypes in Deutschland blieben die großen Erfolge auf der PGA-Tour zuletzt aber aus.
114,"Im Jahr 2000 schrieb Tina Fischer Geschichte als erste deutsche Spielerin, die ein LPGA-Event für sich entscheiden konnte."
115,"Dennoch sieht Kariem Baraka keinen Anlass zur Sorge: ""Grundsätzlich ist die Entwicklung unserer Spitzenspieler - sowohl bei den Damen als auch bei den Herren - während der letzten Jahre sehr positiv zu bewerten"", sagt er und verweist auf viele Erfolge auf der DP World Tour, die Top-Liga in Europa für den Profi-Golfsport."
116,"Diesen Prozess müssen wir fortführen, damit Siege wie der von Stephan Jäger kein Einzelfall bleiben."
117,Der in München geborene Jäger lebt übrigens bereits seit 16 Jahren in den USA.
118,Schon als Teenager wechselte er zum Golfspielen zunächst an eine US-Highschool und spielte anschließend einige Jahre lang sehr erfolgreich für die Mannschaft der University of Tennessee in Chattanooga.
119,"Auch auf anderen Ebenen sieht der 45-Jährige, der einst selbst als Playing Professional auf der Tour gespielt hat, die USA im Vorteil."
120,"Um weitere junge Menschen früh an den Golfsport heranzuführen, muss er außerdem mehr für die breite Masse zugänglich gemacht werden."
121,"Wenn wir es schaffen, dass der Golfsport auch in Deutschland für jede Gesellschaftsschicht und jedes Einkommen zugänglich ist und für alle eine Freizeitoption ist, wird es in Deutschland mehr Golferinnen und Golfer geben und somit auch mehr Spitzenspielerinnen und Spitzenspieler"", so Baraka."
122,Im deutschen Nachwuchs stehen bereits einige Talente in den Startlöchern.
123,Bei den Frauen gilt Helen Briem als größtes deutsches Golftalent.
124,Die 18-jährige aus Nürtingen bei Stuttgart hat letztes Jahr bereits als erste Deutsche in der 104-jährigen Geschichte das bedeutendste Juniorinnen-Turnier der Welt für sich entscheiden können.
125,"Bei den Männern gilt Tiger Christensen als größte deutsche Nachwuchshoffnung, der seinen Vornamen mit einem der besten Golfer aller Zeiten teilt."
126,"Golf-Fans in Deutschland dürfen also durchaus zuversichtlich sein, dass sie nicht erneut neun Jahre auf einen weiteren PGA-Tour-Sieg warten müssen."
127,Ein höhenverstellbarer Schreibtisch oder ergonomische Stühle fördern einen gesunden Arbeitsalltag.
128,"Ein Team aus Physiotherapeuten, Trainern, Ärzten will nicht nur mit ergonomischen Büromöbeln, sondern auch mit ganzheitlichen Lösungen, Gesundheit, Wohlbefinden und die Produktivität im Arbeitsalltag verbessern."
129,Dieser Philosophie folgend betreibt Ergotopia einen YouTube-Kanal und unterstützt mit hilfreichen Übungen und Tipps zu mehr Bewegung und weniger Schmerzen im Alltag.
130,"Bekanntlich fördert ein höhenverstellbarer Schreibtisch eine aktivere Lebensweise, aber Ergotopia bietet darüber hinaus auch kostenlose Fachartikel, Infografiken und Online-Kurse."
131,Das Ziel: das Bewusstsein für einen gesunden und aktiven (Arbeits-)Alltag zu fördern und so Volkskrankheiten wie Rücken- und Nackenschmerzen entgegenzuwirken.
132,Dieser Schreibtischstuhl kombiniert modernes Design und ergonomische High-End-Bauteile.
133,"Durch sein minimalistisches Design, das bewusst auf abstehende Anbauteile verzichtet, fügt er sich in jede Umgebung ein."
134,Die integrierte Synchronmechanik in Kombination mit einer flexiblen Lordosenstütze passt sich individuell den ergonomischen Bedürfnissen des Nutzers an.
135,"Ein ergonomischer Bürostuhl aus 100 % recyceltem Material ist atmungsaktiv, wasser- und schmutzabweisend und damit besonders pflegeleicht."
136,Zugleich sorgt er für zusätzlichen Komfort während langer Arbeitstage.
137,"Während eines Snowboard-Trips spürte Richard Rupp, Mitgründer von Ergotopia, schon nach den ersten Stunden auf der Skipiste starke Rückenschmerzen, die er auf das übermäßige Sitzen zurückführte."
138,"Sein erster Gedanke: ""Das sollte mir in meinem Alter eigentlich nicht passieren."""
139,"Wie die Behörden mitteilten, wurde das Gebiet von New York City am Freitag von einem Erdbeben mit einer vorläufigen Stärke von 4,7 erfasst."
140,BILD-Korrespondent Herbert Bauernebel wohnt selbst in New York City.
141,"Er berichtet: ""Unser ganzes Haus hat 15 bis 20 Sekunden gerüttelt, dann war alles vorbei."" Das Zentrum des Bebens ereignete sich in der Nähe vom Bezirk Lebanon im US-Bundesstaat New Jersey, etwa 72 Kilometer westlich von New York City und 80 Kilometer nördlich von Philadelphia."
142,"In einem Café in Lower Manhattan regten sich die Kunden über das klappernde Geschirr auf, wie die Nachrichtenagentur AP berichtet."
143,"Ein Angestellter gegenüber AP: ""Ich dachte, hier kann es doch kein Erdbeben geben."" Uns liegen derzeit keine Berichte über größere Auswirkungen vor, aber wir sind noch dabei, die Folgen zu bewerten."
144,"New Yorker Anwohner berichteten in den sozialen Medien, dass sie ein Rumpeln an der Ostküste spürten."
145,"Die New Yorker Feuerwehr teilte mit, dass es zunächst keine Berichte über Schäden gab."
146,Die Erschütterungen weckten Erinnerungen an das Erdbeben vom 23.
147,"August 2011, das Millionen von Menschen von Georgia bis Kanada erschütterte."
148,Die Bedrohung ist spürbar und wird auch von den Bürgern wahrgenommen - das zeigt der ARD-Deutschlandtrend.
149,Inzwischen ist das Geld weitgehend mit festen Aufträgen für Rüstungsgüter hinterlegt.
150,"Die Bundeswehr soll so umgebaut werden, dass sie für den Ernstfall bereit ist, also für den Fall, dass Deutschland angegriffen würde."
151,Sieben von zehn und damit mehr als vor fünf Jahren betrachten Frieden und Sicherheit in Europa als sehr stark beziehungsweise stark gefährdet.
152,Das Meinungsforschungsinstitut infratest-dimap hat für den Deutschlandtrend am 2 und 3 April 2024 insgesamt 1304 repräsentativ ausgesuchte Wahlberechtigte befragt.
153,"Deutschland und seine Verbündeten müssten glaubhaft abschrecken, damit niemand auf die Idee komme, ""uns als NATO-Gebiet anzugreifen"", betonte Pistorius, der im ARD-Deutschlandtrend der mit Abstand beliebteste Politiker ist."
154,Der Rückhalt für das Bündnis in der Bevölkerung ist angesichts der aktuellen Lage groß.
155,"Die Allianz ist für 82 Prozent wichtig für die Friedenssicherung in Europa, nur etwa jeder Zehnte hält sie für überflüssig."
156,"Donald Trump, der erneut US-Präsident werden will, hat die Mitgliedschaft der USA in der NATO schon mehr als einmal in Frage gestellt."
157,"Eine Mehrheit der Deutschen findet es wichtig, das gemeinsame Bündnis mit den USA zu bewahren."
158,"69 Prozent sind der Meinung, dass das im europäischen Eigeninteresse liegt."
159,"Die Haltung der Bundesbürger zur EU fällt im ARD-Deutschlandtrend positiv aus, gleichwohl gibt es Abstriche im Vergleich zur letzten Europawahl 2019."
160,"Sechs von zehn Deutschen betonen derzeit, dass es Deutschland durch die EU wirtschaftlich gut geht, während zwei Drittel unterstreichen, dass man durch die EU in Europa sicherer lebt."
161,"In Deutschland wird derzeit auch diskutiert, was mit Menschen ist, die Bürgergeld, also die staatliche Grundsicherung für Arbeitslose beziehen, aber Arbeitsangebote ablehnen."
162,"Angesichts der Probleme mit dem staatlichen Rentensystem fragten die Meinungsforscher zudem, was die Bürger davon halten, länger zu arbeiten."
163,"69 Prozent sind dagegen, dass das Renteneintrittsalter weiter erhöht wird, 25 Prozent sehen darin einen richtigen Schritt."
164,Noch rund eineinhalb Jahre dauert die reguläre Regierungszeit des Dreier-Bündnisses.
165,"Werden sie es schaffen, in der verbleibenden Zeit noch die Probleme anzupacken, die den Deutschen wichtig sind?"
