id,english_sentence
1,Foreign ministers of the Group of Seven (G7) economic powers are meeting on the Italian Mediterranean island of Capri.
2,Tensions in the Middle East and aid to Ukraine amid a Russian invasion will be major topics. US Secretary of State Antony Blinken and Ukrainian Foreign Minister Dmytro Kuleba have both stressed the need for the US Congress to pass a new military aid package for Kyiv as it fights against a Russian invasion.
3,"""At this moment, it is urgent that all of the friends and supporters of Ukraine maximize their efforts to provide Ukraine with what it needs to continue to effectively defend itself against the Russian aggression,"" Blinken said, speaking on the sidelines of the G7 foreign ministers' meeting on the Mediterranean island of Capri."
4,Blinken said it was in the US' own interests to ensure Ukraine could ward off the Russian assault.
5,"""If (Russian President Vladimir) Putin is allowed to proceed with impunity, we know he won't stop at Ukraine,"" Blinken said."
6,"Kuleba said the US aid package, which has long been blocked by Republicans in Congress, ""will literally, without exaggeration, help save Ukrainians from Russian missile slaughter."""
7,"Citing the Russian missile strike on Ukraine's historic city of Chernihiv on Wednesday, which killed at least 18 people, Kuleba said the tragedy was ""that these kind of attacks happen almost every day in Ukraine."""
8,"The US House of Representatives is expected to vote on Saturday on new military aid, including some $61 billion (57 billion) in support for Ukraine."
9,"Iran's weekend attack on Israel must be met with some sort of response from the G7, German Foreign Minister Annalena Baerbock said on Thursday."
10,"""We are also discussing further measures here at the G7, because, of course, there must be a response to this unprecedented incident,"" Baerbock said."
11,"She warned, however, that ""there must be no further escalation in the region; that would be fatal for its people."""
12,"Speaking ahead of the G7 foreign ministers' meeting, she recalled that Ukrainian Foreign Minister Dmytro Kuleba, who will also take part in the Capri gathering, had said, ""We need air defense now"" at a NATO meeting two weeks ago."
13,"More than 1,300 police officers and other security forces are being deployed on the island during the meeting."
14,"A new survey shows the EU is losing face with business and government ""elites"" of Southeast Asia."
15,Respondents showed less confidence in Brussels on issues like upholding free trade and global order.
16,"The European Union's reputation appears to have taken a hit in Southeast Asia, according to a region-wide survey of ""elites"" conducted by the ISEAS-Yusof Ishak Institute in Singapore."
